AGEP,SCHL,MAR,SEX,DIS,CIT,MIL,ANC,NATIVITY,RELP,DEAR,DEYE,DREM,RAC1P,GCL,COW,ESR,WKHP,JWMNP,PINCP,MIG
15,22,0,0,1,0,3,0,0,1,1,1,1,0,2,1,0,50,20,9,0
6,20,4,0,1,0,3,0,0,0,1,1,1,0,0,3,0,40,15,8,0
8,20,0,1,1,0,3,0,0,1,1,1,1,5,0,5,5,40,0,5,1
13,15,0,0,1,4,3,0,1,0,1,1,1,0,2,1,0,40,25,5,1
15,18,0,1,1,4,3,3,1,0,1,1,1,8,2,1,0,40,30,8,1
13,19,0,1,1,0,3,0,0,1,1,1,1,7,2,3,0,40,30,8,1
9,21,4,0,1,0,3,0,0,0,1,1,1,5,0,1,0,40,25,9,0
14,20,0,1,1,0,3,0,0,1,1,1,1,0,2,1,0,26,30,8,0
14,20,0,1,1,4,3,1,1,1,1,1,1,5,2,0,5,0,0,0,1
1,18,4,1,1,0,3,1,0,0,1,1,1,7,0,1,1,24,0,3,1
5,20,0,0,1,0,3,1,0,0,1,1,1,0,0,1,0,40,70,4,0
10,22,4,0,1,0,3,0,0,0,1,1,1,5,0,1,0,40,30,9,0
15,21,0,0,1,0,3,1,0,1,1,1,1,0,2,2,0,40,60,8,1
2,19,4,0,1,0,3,0,0,0,1,1,1,5,0,0,5,0,0,0,1
6,15,4,0,1,0,3,0,0,0,1,1,1,0,0,1,0,40,15,8,1
15,20,4,0,1,0,3,1,0,0,1,1,1,0,2,1,0,40,10,9,0
11,20,4,0,1,3,3,0,1,0,1,1,1,0,2,1,0,42,30,7,1
14,15,4,0,1,0,3,0,0,0,1,1,1,1,2,7,0,40,10,9,1
5,20,4,1,0,0,3,0,0,0,1,1,0,0,0,1,0,15,25,5,0
13,22,0,1,1,4,3,0,1,0,1,1,1,0,2,1,0,40,50,5,0
2,15,4,0,1,0,3,2,0,0,1,1,1,0,0,1,0,39,35,5,1
0,17,4,0,1,0,3,0,0,0,1,1,1,0,0,3,5,0,0,0,0
11,16,0,0,1,0,3,1,0,0,1,1,1,0,2,1,5,45,0,5,1
14,18,0,0,1,0,3,0,0,0,1,1,1,0,2,3,0,50,60,9,1
11,21,4,1,1,0,3,0,0,0,1,1,1,1,2,1,0,40,50,7,1
11,20,4,1,1,0,3,1,0,0,1,1,1,0,2,1,0,40,30,8,0
14,20,0,0,1,0,3,2,0,1,1,1,1,0,2,1,0,40,35,7,0
13,15,0,0,1,4,3,0,1,0,1,1,1,8,2,1,2,21,0,2,0
12,15,0,0,1,0,3,0,0,0,1,1,1,7,2,1,1,40,0,9,1
8,23,4,1,1,0,3,1,0,0,1,1,1,0,0,2,0,40,30,7,0
13,22,4,1,1,0,3,0,0,0,1,1,1,0,2,1,0,40,20,7,0
7,15,4,0,1,4,3,0,1,0,1,1,1,7,0,1,0,48,2,5,0
15,19,0,1,1,0,3,1,0,0,1,1,1,0,2,6,0,30,15,2,1
8,15,4,0,1,0,3,0,0,0,1,1,1,7,0,6,0,40,45,5,1
13,11,4,1,1,4,3,0,1,0,1,1,1,0,2,6,0,38,20,4,1
4,15,0,1,1,4,3,0,1,1,1,1,1,0,0,1,0,20,15,3,1
13,17,0,1,1,0,3,3,0,1,1,1,1,0,2,1,0,35,30,4,1
15,15,0,0,1,4,3,0,1,1,1,1,1,0,2,2,0,40,25,6,0
9,17,4,1,1,0,3,0,0,0,1,1,1,7,0,1,0,40,30,3,1
14,22,0,0,0,4,3,0,1,1,1,0,1,5,2,1,1,60,0,7,1
3,15,4,0,1,4,3,0,1,0,1,1,1,5,0,1,0,40,15,2,0
14,22,0,1,1,3,3,0,1,0,1,1,1,5,2,1,0,40,38,9,1
10,18,0,0,1,0,1,1,0,0,1,1,1,7,0,5,0,40,12,7,1
9,22,4,1,1,0,3,1,0,0,1,1,1,0,0,1,0,40,15,8,0
11,18,4,0,1,0,3,0,0,0,1,1,1,0,2,4,0,40,20,8,1
13,18,2,1,1,3,3,3,1,0,1,1,1,0,2,1,0,24,45,3,1
6,21,0,0,1,4,3,0,1,1,1,1,1,5,0,1,0,40,10,9,0
9,15,0,0,1,4,3,0,1,1,1,1,1,0,0,1,0,40,10,5,1
15,20,0,0,1,4,3,3,1,1,1,1,1,7,2,3,0,40,45,6,1
9,18,0,0,1,0,3,0,0,0,1,1,1,1,0,1,0,40,20,5,1
3,18,0,1,1,0,0,3,0,1,1,1,1,1,0,5,3,40,20,8,0
13,20,0,1,1,0,3,0,0,1,1,1,1,7,2,1,0,40,60,9,1
15,20,0,1,1,3,3,0,1,1,1,1,1,5,2,1,0,40,45,9,1
11,15,4,0,1,0,3,3,0,0,1,1,1,0,2,3,0,40,0,4,1
8,21,4,0,1,0,3,0,0,0,1,1,1,0,0,1,0,60,30,9,1
12,23,0,1,1,0,3,0,0,1,1,1,1,5,2,1,0,40,60,9,1
7,20,4,1,1,0,3,0,0,0,1,1,1,0,0,1,0,35,20,8,1
8,20,4,1,1,0,3,0,0,0,1,1,1,0,0,2,0,40,20,6,1
15,21,0,1,1,3,3,0,1,0,1,1,1,0,2,1,0,60,20,8,1
3,18,4,0,1,0,3,0,0,0,1,1,1,5,0,1,0,15,10,3,0
14,18,4,0,1,0,3,1,0,0,1,1,1,8,2,1,0,90,30,7,1
9,15,0,0,1,0,3,0,0,1,1,1,1,0,0,5,0,50,15,7,0
6,18,4,0,1,0,3,1,0,0,1,1,1,0,0,1,0,50,25,6,1
6,18,0,0,1,0,3,2,0,0,1,1,1,0,0,1,0,45,20,7,1
9,22,4,0,1,0,3,1,0,0,1,1,1,0,0,0,5,0,0,1,0
14,22,0,0,1,0,3,0,0,1,1,1,1,5,2,7,0,42,30,9,1
11,15,0,0,1,0,3,0,0,1,1,1,1,0,2,1,0,55,60,9,1
15,20,0,0,1,3,3,1,1,0,1,1,1,5,2,4,0,40,25,7,1
5,20,4,1,1,0,3,1,0,0,1,1,1,0,0,1,0,50,15,9,0
11,15,3,1,1,0,3,0,0,0,1,1,1,0,2,1,0,40,60,6,1
10,21,4,0,1,0,3,1,0,0,1,1,1,0,0,0,5,0,0,7,1
12,20,4,1,1,4,3,0,1,0,1,1,1,7,2,1,0,40,25,2,1
14,19,4,0,1,0,3,1,0,0,1,1,1,0,2,1,0,30,45,7,0
14,15,0,1,1,3,3,0,1,1,1,1,1,5,2,6,0,25,25,4,1
11,16,0,0,1,0,3,3,0,0,1,1,1,0,2,1,0,48,30,8,1
15,21,0,0,1,0,3,1,0,0,1,1,1,0,2,1,0,55,45,9,1
5,18,0,0,1,0,3,3,0,1,1,1,1,0,0,5,1,20,0,4,1
14,20,4,0,1,0,3,0,0,0,1,1,1,0,2,1,0,50,12,8,1
7,20,4,1,1,0,3,1,0,0,1,1,1,0,0,7,0,30,0,4,1
12,20,4,0,1,3,3,0,1,0,1,1,1,0,2,1,0,40,25,9,1
13,18,4,0,1,0,3,0,0,0,1,1,1,0,2,1,0,40,25,5,0
6,20,4,0,1,0,3,2,0,0,1,1,1,0,0,1,0,80,30,9,1
6,20,0,1,1,0,3,0,0,0,1,1,1,0,0,1,0,6,30,2,1
9,20,4,0,1,0,3,3,0,0,1,1,1,5,0,2,0,48,15,7,1
15,9,0,0,1,4,3,0,1,0,1,1,1,0,2,1,0,35,15,5,1
12,19,2,0,0,4,3,1,1,0,1,1,0,5,2,0,5,0,0,1,1
5,19,4,0,1,0,3,0,0,0,1,1,1,7,0,1,0,40,30,4,1
10,17,0,0,1,0,3,1,0,0,1,1,1,0,0,1,0,50,30,8,1
9,20,4,0,1,0,3,0,0,0,1,1,1,5,0,1,0,30,20,3,1
14,15,4,1,1,0,3,0,0,0,1,1,1,0,2,1,0,40,25,6,1
11,18,4,0,1,3,3,0,1,0,1,1,1,5,2,1,0,40,10,6,1
15,20,4,1,1,0,3,3,0,0,1,1,1,0,2,1,0,50,25,9,0
3,20,0,0,1,4,3,0,1,1,1,1,1,5,0,1,0,36,30,3,1
8,18,0,1,1,0,3,3,0,0,1,1,1,0,0,3,0,40,40,2,0
11,20,4,0,1,3,3,0,1,0,1,1,1,8,2,3,0,40,30,7,1
10,21,4,0,1,0,3,2,0,0,1,1,1,7,0,1,0,50,10,9,1
12,20,0,0,1,0,3,0,0,0,1,1,1,0,2,1,0,45,10,9,1
12,20,0,1,1,3,3,0,1,0,1,1,1,5,2,1,0,40,30,8,1
11,21,0,0,1,4,3,3,1,0,1,1,1,5,2,1,0,40,60,9,0
15,20,0,1,1,0,3,1,0,0,1,1,1,0,2,3,0,40,25,7,1
12,21,4,1,1,0,3,0,0,0,1,1,1,0,2,1,0,45,6,8,1
12,20,0,1,1,3,3,0,1,1,1,1,1,0,2,0,5,0,0,0,1
10,15,0,0,1,0,3,1,0,1,1,1,1,0,0,1,0,40,15,6,0
10,21,0,1,1,4,3,2,1,0,1,1,1,8,0,1,0,60,20,9,0
6,15,0,0,1,0,3,0,0,1,1,1,1,0,0,1,2,33,0,4,1
9,19,0,1,1,0,3,2,0,1,1,1,1,0,0,1,5,0,0,0,1
13,15,4,0,1,0,3,0,0,0,1,1,1,0,2,1,0,50,20,7,1
5,19,4,0,1,0,3,0,0,0,1,1,1,7,0,4,0,20,10,4,0
5,15,4,0,1,0,0,1,0,0,1,1,1,0,0,5,3,35,23,6,0
13,19,4,1,1,0,3,0,0,0,1,1,1,0,2,6,0,30,0,4,1
13,21,4,0,1,0,3,0,0,0,1,1,1,0,2,2,0,35,30,8,1
6,19,0,1,1,0,3,0,0,0,1,1,1,0,0,1,5,0,0,0,0
14,15,0,1,1,0,3,1,0,0,1,1,1,0,2,1,5,0,0,0,1
12,22,4,1,1,0,3,3,0,0,1,1,1,5,2,2,0,45,5,7,1
9,18,0,1,1,4,3,0,1,1,1,1,1,0,0,0,5,0,0,0,1
10,12,0,0,1,4,3,1,1,1,1,1,1,7,0,1,0,30,15,8,1
4,15,4,1,1,0,3,0,0,0,1,1,1,0,0,2,0,40,15,5,1
12,20,4,1,1,0,3,0,0,0,1,1,1,5,2,2,0,40,15,8,1
15,21,0,1,1,4,3,0,1,0,1,1,1,5,2,1,0,40,20,8,0
12,18,4,1,1,0,3,1,0,0,1,1,1,5,2,1,0,24,30,7,1
0,17,4,1,1,0,3,0,0,0,1,1,1,0,0,1,0,34,7,5,0
11,20,0,1,1,0,3,0,0,1,1,1,1,1,2,2,0,45,25,7,0
8,20,0,1,1,0,3,0,0,1,1,1,1,0,0,1,5,0,0,0,1
13,21,0,0,1,3,3,0,1,0,1,1,1,0,2,1,1,40,0,7,1
11,15,4,0,1,4,3,0,1,0,1,1,1,7,2,1,0,40,20,4,1
13,18,0,0,1,0,3,0,0,0,1,1,1,0,2,1,0,68,63,5,1
13,17,0,0,1,0,3,0,0,0,1,1,1,7,2,1,0,40,5,7,1
6,20,0,1,1,0,3,1,0,1,1,1,1,0,0,2,0,44,7,9,1
10,21,0,0,1,0,3,0,0,0,1,1,1,5,0,2,0,40,35,8,1
12,15,0,1,1,4,3,0,1,0,1,1,1,7,2,1,5,0,0,0,1
15,19,0,1,1,3,3,1,1,0,1,1,1,5,2,1,0,40,50,7,1
14,23,0,1,1,0,3,1,0,0,1,1,1,0,2,4,2,45,0,7,1
1,18,0,0,1,0,3,3,0,1,1,1,1,0,0,1,5,30,0,3,1
7,20,0,1,1,4,3,3,1,0,1,1,1,0,0,1,0,40,50,8,1
10,20,0,0,1,0,3,1,0,0,1,1,1,0,0,1,0,55,30,9,1
10,22,4,1,1,0,3,0,0,0,1,1,1,0,0,1,0,40,45,7,1
9,20,4,0,1,3,3,0,1,0,1,1,1,0,0,1,0,36,30,7,1
12,18,0,1,1,0,3,0,0,1,1,1,1,0,2,1,0,17,20,5,1
14,18,4,0,1,4,3,0,1,0,1,1,1,0,2,1,0,40,30,7,1
10,21,0,0,1,4,3,0,1,1,1,1,1,5,0,1,0,40,30,9,0
8,18,0,1,1,0,3,0,0,0,1,1,1,7,0,1,0,40,10,8,1
11,20,0,0,1,0,3,0,0,1,1,1,1,0,2,1,0,40,5,6,0
10,10,0,1,1,4,3,0,1,1,1,1,1,0,0,1,0,40,25,6,1
12,20,4,0,1,0,3,1,0,0,1,1,1,5,2,6,0,30,10,8,0
13,18,0,0,1,0,0,0,0,0,1,1,1,0,2,5,3,40,5,7,0
11,15,4,0,1,4,3,0,1,0,1,1,1,0,2,1,0,40,1,8,0
14,15,0,1,1,0,3,0,0,1,1,1,1,7,2,1,0,35,25,5,1
13,21,0,1,1,0,3,1,0,1,1,1,1,0,2,4,1,40,0,8,1
15,20,0,1,1,0,3,3,0,0,1,1,1,0,2,2,5,15,0,3,1
5,18,0,1,1,0,3,0,0,1,1,1,1,1,0,0,5,0,0,0,1
14,8,0,0,1,4,3,0,1,0,1,1,1,7,2,1,0,40,7,7,1
15,15,0,0,1,3,3,0,1,1,1,1,1,0,2,1,0,40,10,7,1
10,20,4,1,1,0,3,3,0,0,1,1,1,0,0,2,0,40,20,7,1
9,18,4,1,1,0,3,3,0,0,1,1,1,0,0,1,5,40,0,3,1
15,20,0,1,1,0,3,1,0,1,1,1,1,0,2,6,1,20,0,2,0
14,18,0,1,1,0,3,1,0,1,1,1,1,0,2,0,5,0,0,0,0
12,15,0,1,1,0,3,0,0,1,1,1,1,0,2,2,0,42,60,7,1
13,17,4,0,1,0,3,0,0,0,1,1,1,0,2,1,0,45,45,7,1
9,20,0,1,1,3,3,0,1,0,1,1,1,5,0,3,0,50,15,8,1
6,20,4,0,1,0,3,1,0,0,1,1,1,0,0,1,0,45,38,8,0
12,21,0,0,1,0,0,1,0,0,1,1,1,8,2,5,3,40,10,9,1
8,13,4,1,1,0,3,1,0,0,1,1,1,7,0,1,0,32,10,4,1
10,21,0,1,1,4,3,0,1,1,1,1,1,5,0,1,5,40,0,6,1
14,19,0,1,1,0,3,3,0,0,1,1,1,0,2,1,5,0,0,0,1
11,20,4,0,1,0,3,2,0,0,1,1,1,0,2,7,0,60,10,9,0
