AGEP,SCHL,MAR,RELP,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,RAC1P,ESR
17,16,4,17,1,0,0,2,4,1,0,1,1,1,1,8,0
88,16,2,16,0,0,0,0,4,0,0,1,1,0,1,0,0
5,1,4,2,1,2,0,0,0,1,0,1,1,1,1,0,0
63,20,0,1,1,0,0,0,2,3,0,1,1,1,0,0,1
54,20,2,2,1,0,0,0,4,1,0,1,1,1,1,0,1
71,16,0,1,1,0,0,0,4,1,0,1,1,1,0,0,1
33,22,4,2,1,0,0,0,4,0,0,1,1,1,1,0,1
69,22,4,16,0,0,0,0,4,3,0,1,1,0,0,0,0
60,19,0,0,0,0,0,0,4,1,0,0,1,1,0,0,1
58,16,0,0,0,0,0,0,4,0,0,1,1,1,0,0,1
7,4,4,7,1,2,0,2,0,0,0,1,1,1,0,0,0
14,11,4,2,1,1,0,0,0,0,0,1,1,1,1,5,0
68,22,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0
19,19,4,17,1,0,0,2,4,0,0,1,1,1,1,1,1
66,6,0,1,1,0,3,0,4,3,1,1,1,1,0,4,0
59,22,0,0,1,0,0,0,4,0,0,1,1,1,0,0,1
28,21,4,13,1,0,0,0,4,0,0,1,1,1,1,0,1
88,21,1,0,0,0,3,0,4,0,1,1,1,0,1,0,0
57,21,0,1,1,0,0,0,4,0,0,1,1,1,1,0,1
45,16,0,0,1,0,0,0,4,3,0,1,1,1,1,8,1
85,16,2,0,0,0,0,2,4,0,0,0,1,1,1,0,0
18,16,4,2,1,0,0,0,4,3,0,1,1,1,1,0,0
52,19,4,2,0,0,0,0,4,0,0,1,1,1,0,5,0
36,16,0,9,0,0,0,0,4,0,0,1,1,1,0,0,1
73,19,0,0,1,0,0,0,4,2,0,1,1,1,0,0,0
71,19,2,0,0,0,3,0,4,3,1,1,1,1,1,0,0
50,22,0,0,1,0,0,0,4,1,0,1,1,1,0,0,1
37,18,2,0,1,0,3,0,4,0,1,1,1,1,1,0,1
76,18,2,0,1,0,0,0,4,0,0,1,1,1,1,0,1
77,19,0,1,1,0,0,0,4,3,0,1,1,1,0,0,0
63,1,0,1,1,0,4,0,4,0,1,1,1,1,0,0,0
19,16,4,2,1,0,0,0,4,0,0,1,1,1,0,0,1
59,1,4,17,0,0,0,2,4,0,0,1,1,0,0,1,0
27,20,4,13,1,0,0,0,4,0,0,1,1,1,1,0,1
7,3,4,17,1,0,0,2,0,0,0,1,1,1,0,0,0
12,8,4,2,1,1,0,0,0,1,0,1,1,1,0,0,0
53,16,1,17,1,0,0,0,2,0,0,1,1,1,0,1,1
57,16,4,17,0,0,0,2,4,3,0,1,1,1,0,0,0
6,3,4,2,1,2,0,2,0,0,0,1,1,1,1,0,0
74,16,0,1,0,0,0,2,4,0,0,1,1,1,0,0,0
21,19,4,17,1,0,0,0,4,0,0,1,1,1,0,7,0
68,16,4,16,0,0,0,2,4,0,0,1,1,0,0,7,0
18,19,4,17,1,0,0,2,4,1,0,1,1,1,0,0,1
38,18,0,1,1,0,3,0,4,3,1,1,1,1,1,0,1
37,20,0,1,1,0,0,0,4,3,0,1,1,1,1,7,1
61,1,4,16,0,0,3,0,4,0,1,0,0,0,1,0,0
20,19,4,17,1,0,0,2,4,0,0,1,1,1,1,0,0
47,17,4,16,1,0,0,0,4,0,0,1,1,1,0,0,0
45,21,0,1,1,0,3,0,4,0,1,1,1,1,1,5,1
20,16,4,2,1,0,0,0,4,0,0,1,1,1,0,0,1
65,16,0,1,0,0,0,0,4,0,0,1,1,1,1,5,1
37,16,0,0,1,0,4,2,4,0,1,1,1,1,1,5,1
20,16,4,12,1,0,0,0,4,3,0,1,1,1,0,0,1
19,16,4,2,1,0,0,0,4,0,0,1,1,1,0,0,0
79,16,4,16,0,0,0,0,4,0,0,1,1,0,1,5,0
8,5,4,16,1,0,0,0,0,0,0,1,1,1,0,5,0
29,23,0,0,1,0,3,0,4,0,1,1,1,1,1,5,1
49,17,4,0,1,0,0,0,4,0,0,1,1,1,0,0,1
81,12,0,16,0,0,3,0,4,0,1,1,1,1,0,5,0
62,19,0,1,1,0,0,0,4,1,0,1,1,1,0,0,1
52,20,0,0,1,0,3,0,4,0,1,1,1,1,1,0,1
19,18,4,17,1,0,4,1,4,0,1,1,1,1,0,5,0
19,16,4,17,1,0,0,2,1,1,0,1,1,1,0,0,0
62,21,0,0,1,0,0,0,4,0,0,1,1,1,0,0,0
60,19,0,0,1,0,0,0,4,1,0,1,1,1,0,0,1
87,16,2,16,0,0,0,2,4,3,0,1,1,1,1,0,0
34,21,0,1,1,0,0,0,4,3,0,1,1,1,0,0,1
42,20,3,2,1,0,0,2,4,3,0,1,1,1,0,8,1
49,22,0,1,1,0,3,0,4,0,1,1,1,1,1,5,1
46,17,0,0,1,0,0,0,4,0,0,1,1,1,1,0,0
65,16,4,5,1,0,0,0,4,0,0,1,1,1,1,0,1
74,16,0,0,1,0,0,0,3,0,0,1,1,1,0,0,0
44,12,4,16,1,0,4,0,4,0,1,1,1,1,0,0,0
21,16,4,17,1,0,0,0,1,0,0,1,1,1,0,0,0
73,21,0,16,0,0,3,0,4,0,1,1,0,1,0,5,0
24,19,4,2,1,0,0,2,4,0,0,1,1,1,1,5,0
22,17,4,16,1,0,0,2,4,0,0,1,1,1,1,0,0
11,7,4,2,1,2,0,0,0,3,0,1,1,1,0,0,0
44,19,2,0,1,0,0,2,2,0,0,1,1,1,0,7,1
43,21,0,0,1,0,0,0,4,0,0,1,1,1,0,0,1
39,20,4,0,1,0,0,0,4,1,0,1,1,1,0,0,1
75,18,2,2,1,0,0,0,4,0,0,1,1,1,1,0,0
30,16,0,10,1,0,0,0,4,3,0,1,1,1,1,7,1
8,6,4,2,1,8,0,0,0,0,0,1,1,1,1,8,0
23,19,4,17,1,0,0,2,4,0,0,1,1,1,1,2,1
67,16,0,1,1,0,0,0,4,0,0,1,1,1,1,0,1
28,16,4,0,1,0,0,0,4,0,0,1,1,1,1,0,0
70,16,0,0,1,0,0,0,4,1,0,1,1,1,0,0,0
30,19,4,13,1,0,0,0,4,0,0,1,1,1,0,0,1
20,19,4,17,1,0,0,0,4,0,0,1,1,1,1,7,0
71,21,0,1,1,0,3,0,4,0,1,1,1,1,1,5,0
25,19,4,12,1,0,0,2,4,3,0,1,1,1,1,0,1
20,19,4,17,1,0,4,2,4,0,1,1,1,1,0,0,0
41,14,2,0,1,0,3,0,4,1,1,1,1,1,1,5,1
64,15,1,6,1,0,3,0,4,1,1,1,1,1,1,7,1
17,14,4,16,0,0,0,0,4,3,0,1,1,0,1,0,0
66,16,2,0,0,0,0,0,4,1,0,1,1,1,1,0,0
58,16,2,17,0,0,0,0,4,0,0,1,0,1,0,0,0
10,7,4,2,1,1,0,0,0,0,0,1,1,1,1,0,0
59,11,4,16,1,0,0,0,4,0,0,1,1,1,0,0,0
48,19,0,2,1,0,0,1,4,1,0,1,1,1,1,0,0
27,19,4,2,1,0,0,0,4,3,0,1,1,1,1,0,0
23,21,4,12,1,0,0,0,4,0,0,1,1,1,0,0,1
22,16,4,17,1,0,0,0,1,0,0,1,1,1,0,0,0
73,15,0,16,0,0,0,2,2,3,0,1,1,0,0,0,0
49,23,0,1,1,0,3,0,4,0,1,1,1,1,1,5,1
29,21,4,0,1,0,0,0,4,2,0,1,1,1,1,0,1
44,23,0,0,1,0,0,0,4,0,0,1,1,1,0,0,1
38,16,4,17,1,0,0,0,4,0,0,1,1,1,0,7,0
7,5,4,2,1,1,0,0,0,1,0,1,1,1,1,0,0
67,22,0,0,1,0,0,0,4,1,0,1,1,1,0,0,1
46,17,4,16,0,0,0,0,4,0,0,1,1,0,0,1,0
55,1,1,15,1,0,4,2,4,0,1,1,1,1,0,0,1
29,18,0,1,1,0,4,0,4,0,1,1,1,1,1,7,0
53,16,0,1,1,0,0,0,4,3,0,1,1,1,0,0,1
25,21,4,12,1,0,4,0,4,0,1,1,1,1,0,5,0
32,13,2,7,1,0,0,0,4,0,0,1,1,1,1,0,0
30,16,0,16,1,0,0,0,4,0,0,1,1,1,0,0,0
28,15,0,1,1,0,0,0,4,0,0,1,1,1,0,0,0
41,24,0,1,1,0,0,0,4,0,0,1,1,1,1,0,1
40,9,0,16,0,0,0,2,4,0,0,1,1,0,0,1,0
57,20,0,0,1,0,3,0,4,3,1,1,1,1,0,5,1
62,1,2,16,0,0,0,2,4,0,0,1,1,1,0,5,0
13,11,4,2,1,2,0,0,0,0,0,1,1,1,0,5,0
44,21,0,1,1,0,0,0,4,1,0,1,1,1,0,8,0
65,20,0,0,1,0,0,0,4,1,0,1,1,1,0,0,0
24,19,4,2,1,0,4,2,4,3,1,1,1,1,0,2,1
33,18,4,16,1,0,0,0,4,0,0,1,1,1,0,8,0
38,14,4,16,0,0,0,2,4,0,0,1,1,0,0,0,0
9,5,4,2,1,2,0,0,0,0,0,1,1,1,0,5,0
69,21,4,16,0,0,0,0,4,3,0,1,1,0,0,0,0
87,12,0,1,1,0,3,0,4,3,1,1,1,1,1,0,0
55,17,0,16,1,0,0,0,4,0,0,1,1,1,0,0,0
90,21,1,6,0,0,0,0,4,0,0,1,1,0,1,1,0
28,18,4,2,1,0,0,0,4,0,0,1,1,1,0,0,1
23,19,3,0,1,0,0,0,2,0,0,1,1,1,1,0,1
52,21,0,0,1,0,3,0,4,0,1,1,1,1,1,5,1
14,12,4,2,1,1,0,0,0,3,0,1,1,1,0,0,0
25,15,4,17,1,0,0,0,4,0,0,1,1,1,1,0,0
31,1,4,17,0,0,0,0,4,3,0,0,1,0,0,0,0
7,3,4,2,1,2,0,0,0,0,0,1,1,1,1,7,0
42,21,0,1,1,0,0,0,4,0,0,1,1,1,0,0,0
5,3,4,2,1,7,2,0,0,3,0,1,1,1,0,0,0
40,15,4,2,0,0,0,0,4,0,0,1,1,1,1,5,1
65,20,1,17,0,0,0,2,4,3,0,1,1,1,1,0,0
19,18,4,17,1,0,0,2,4,1,0,1,1,1,0,0,0
21,14,4,16,1,0,0,2,4,0,0,1,1,1,0,0,0
23,19,4,2,1,0,0,2,4,0,0,1,1,1,0,1,1
29,11,0,1,0,0,3,0,4,0,1,1,0,1,0,7,0
77,19,2,17,0,0,0,2,2,1,0,1,1,1,1,0,0
8,6,4,2,1,1,0,0,0,0,0,1,1,1,1,0,0
52,21,0,0,0,0,0,0,4,1,0,1,0,0,0,8,0
33,21,4,0,1,0,0,0,4,1,0,1,1,1,1,0,1
79,16,1,0,0,0,0,0,2,2,0,0,1,1,0,0,0
5,1,4,2,1,2,0,0,0,0,0,1,1,1,0,1,0
68,21,2,0,1,0,0,0,4,0,0,1,1,1,1,1,0
66,19,0,0,1,0,0,2,4,0,0,1,1,1,1,0,0
88,16,2,16,0,0,0,0,4,0,0,0,1,0,0,0,0
59,22,0,0,1,0,0,0,4,3,0,1,1,1,0,0,1
52,19,0,0,1,0,3,0,4,0,1,1,1,1,0,0,1
40,21,0,0,1,0,4,0,4,0,1,1,1,1,0,0,1
27,14,4,2,1,0,0,0,4,3,0,1,1,1,1,7,1
62,16,0,0,1,0,3,2,4,3,1,1,1,1,1,0,0
26,20,4,16,1,0,0,0,4,0,0,1,1,1,0,0,0
10,7,4,2,1,2,0,0,0,0,0,1,1,1,0,7,0
45,21,0,1,1,0,4,0,4,0,1,1,1,1,0,5,1
45,16,0,0,1,0,4,0,4,0,1,1,1,1,0,0,1
77,18,2,16,0,0,0,0,4,1,0,1,1,1,1,0,0
29,17,4,16,1,0,0,2,4,0,0,1,1,1,0,1,0
55,1,0,1,1,0,3,0,4,0,1,1,1,1,1,5,1
57,24,0,0,1,0,4,1,4,0,1,1,1,1,0,5,1
77,1,0,1,1,0,4,0,4,0,1,1,1,1,1,0,0
25,21,0,9,1,0,0,0,4,0,0,1,1,1,1,5,1
19,16,4,2,1,0,0,0,4,0,0,1,1,1,0,0,1
49,19,0,0,1,0,0,0,4,0,0,1,1,1,1,0,0
70,20,0,0,1,0,0,0,2,1,0,1,1,1,0,0,0
63,9,0,0,1,0,4,0,4,0,1,1,1,1,1,0,0
39,9,2,0,1,0,4,0,4,0,1,1,1,1,1,0,1
44,18,2,16,1,0,0,2,4,0,0,1,1,1,1,0,0
21,19,4,2,1,0,0,0,4,0,0,1,1,1,0,0,0
5,2,4,2,1,1,0,0,0,0,0,1,1,1,0,0,0
82,19,1,17,0,0,0,0,4,3,0,1,1,1,1,0,0
13,8,4,16,0,0,0,2,0,3,0,1,1,0,0,0,0
58,20,4,16,0,0,0,0,4,0,0,1,1,0,0,1,0
23,13,4,17,0,0,0,2,4,3,0,1,1,0,0,7,0
10,7,4,2,1,1,0,0,0,3,0,1,1,1,0,0,0
74,20,0,1,1,0,0,0,4,1,0,1,1,1,1,0,0
70,18,4,16,1,0,3,2,2,1,1,1,1,1,0,0,0
28,18,4,2,1,0,0,0,4,3,0,1,1,1,0,7,1
17,13,4,16,1,0,0,2,4,0,0,1,1,1,0,1,0
30,16,4,2,1,0,0,0,4,1,0,1,1,1,0,8,0
45,21,0,0,1,0,0,0,4,0,0,1,1,1,0,5,1
6,3,4,2,1,1,0,0,0,0,0,1,1,1,1,7,0
63,19,0,0,1,0,0,0,4,2,0,1,1,1,0,0,1
45,16,0,0,1,0,0,0,4,0,0,1,1,1,0,1,1
18,16,4,17,1,0,0,0,1,3,0,1,1,1,0,0,0
49,16,4,15,1,0,4,1,4,0,1,1,1,1,1,5,0
47,23,0,1,1,0,3,0,4,3,1,1,1,1,0,0,1
47,19,0,0,1,0,0,0,4,0,0,1,1,1,1,5,1
53,21,4,0,1,0,0,0,4,0,0,1,1,1,0,0,1
80,14,0,16,0,0,4,0,4,0,1,1,1,1,1,7,0
63,18,0,17,1,0,0,0,4,0,0,1,1,1,1,0,0
18,18,4,17,1,0,0,2,4,1,0,1,1,1,1,5,0
43,16,4,7,1,0,0,0,4,3,0,1,1,1,0,0,1
31,18,4,5,1,0,0,2,4,3,0,1,1,1,0,0,1
79,21,1,0,1,0,3,0,4,0,1,1,1,1,1,0,1
94,19,1,16,0,0,3,0,4,3,1,0,0,0,1,0,0
30,21,0,1,1,0,0,0,4,0,0,1,1,1,1,5,1
18,16,4,17,1,0,0,0,4,0,0,1,1,1,0,5,0
90,11,1,17,0,0,0,2,4,0,0,0,1,0,1,0,0
25,18,0,9,1,0,0,0,4,0,0,1,1,1,0,0,1
52,19,2,0,1,0,0,0,4,1,0,1,1,1,1,0,1
46,1,0,1,1,0,4,0,4,0,1,1,1,1,1,7,0
23,16,4,2,1,0,0,0,4,0,0,1,1,1,0,7,0
27,16,4,2,1,0,0,2,4,1,0,1,1,1,1,0,1
64,19,0,1,1,0,0,0,4,0,0,1,1,1,1,0,0
48,14,0,1,1,0,3,0,4,0,1,1,1,1,1,0,1
59,16,0,1,0,0,0,0,2,0,0,0,1,1,0,2,1
48,21,2,13,1,0,3,2,4,0,1,1,1,1,1,5,0
29,14,4,16,1,0,0,0,4,0,0,1,1,1,0,7,0
80,16,1,0,1,0,0,0,4,0,0,1,1,1,1,0,0
20,19,4,17,1,0,0,0,4,0,0,1,1,1,1,5,0
25,22,4,12,1,0,4,0,4,0,1,1,1,1,0,5,1
75,11,2,16,0,0,3,0,4,0,1,1,1,1,1,7,0
16,14,4,2,1,1,0,0,0,0,0,1,1,1,0,5,0
24,17,4,0,1,0,4,0,4,0,1,1,1,1,0,5,1
38,21,4,0,1,0,0,0,1,0,0,1,1,1,1,0,0
44,21,4,0,1,0,0,0,4,1,0,1,1,1,1,0,1
34,14,3,16,0,0,0,2,4,0,0,1,1,0,1,0,0
21,19,4,17,1,0,0,0,4,1,0,1,1,1,1,0,1
23,12,4,2,0,0,0,0,4,0,0,1,0,0,0,0,0
19,19,4,17,1,0,0,2,4,1,0,1,1,1,0,0,0
62,20,1,0,1,0,0,0,4,1,0,1,1,1,0,0,1
30,1,4,17,0,0,0,0,4,1,0,1,1,0,0,8,0
77,15,1,0,0,0,0,0,4,1,0,0,1,1,1,0,0
44,22,0,1,1,0,3,0,4,0,1,1,1,1,1,5,1
64,19,0,1,1,0,0,0,4,2,0,1,1,1,1,0,0
78,13,0,16,0,0,3,0,4,0,1,1,1,0,0,0,0
82,21,2,0,1,0,0,0,2,3,0,1,1,1,0,0,0
22,18,4,16,0,0,0,0,4,0,0,0,1,1,0,0,0
26,1,4,16,0,0,0,2,4,3,0,1,1,0,1,7,0
70,21,0,0,1,0,0,0,4,3,0,1,1,1,0,0,0
17,13,4,2,1,2,0,0,4,3,0,1,1,1,0,7,0
18,14,4,4,1,0,4,0,4,0,1,1,1,1,0,7,1
36,19,3,16,1,0,0,0,4,0,0,1,1,1,0,5,0
83,6,1,0,1,0,3,0,4,0,1,1,1,1,1,0,0
36,22,0,9,1,0,0,0,4,0,0,1,1,1,1,5,1
84,17,1,8,0,0,4,0,4,0,1,1,1,1,1,5,0
49,18,0,0,1,0,0,0,4,1,0,1,1,1,1,0,0
29,1,4,2,1,0,0,0,4,3,0,1,1,1,0,1,0
89,21,2,16,0,0,0,0,4,0,0,1,1,0,1,1,0
11,8,4,2,0,7,0,0,0,0,0,1,1,0,0,0,0
28,16,4,16,1,0,0,2,4,0,0,1,1,1,0,1,0
51,21,0,0,1,0,0,0,4,0,0,1,1,1,0,0,1
35,19,2,16,1,0,0,0,4,0,0,1,1,1,0,0,0
43,21,4,2,1,0,3,0,4,1,1,1,1,1,0,0,0
64,20,0,0,1,0,0,0,4,2,0,1,1,1,1,0,0
36,16,4,17,0,0,0,0,4,0,0,1,1,0,0,0,0
13,11,4,2,1,1,0,0,0,3,0,1,1,1,0,0,0
63,9,2,0,1,0,0,0,4,3,0,1,1,1,0,0,1
16,13,4,2,1,1,0,0,0,3,0,1,1,1,0,0,0
19,18,4,17,1,0,0,2,4,1,0,1,1,1,0,0,0
42,21,2,2,1,0,0,0,4,0,0,1,1,1,1,0,1
17,13,4,16,1,0,0,2,4,0,0,1,1,1,0,0,0
18,15,4,10,1,0,0,0,4,1,0,1,1,1,1,8,0
21,19,4,17,1,0,0,0,4,1,0,1,1,1,0,0,0
18,16,4,2,1,0,0,0,4,1,0,1,1,1,0,0,0
